A,Z,E(y),Sigma,Sigma Uncertainty,Half life (seconds),K0,K0 Uncertainty,Number of Isotope,Isotope Name
15.0,7.0,787.2,2.6e-15,4.78e-17,7.13,5.63e-16,1.03e-17,16.0,N 
15.0,7.0,867.7,8.49e-14,2.38e-15,7.13,1.84e-14,5.15e-16,16.0,N 
15.0,7.0,986.93,3e-12,7.02e-13,7.13,6.49e-13,1.52e-13,16.0,N 
15.0,7.0,1067.5,2.6e-14,4.78e-16,7.13,5.63e-15,1.03e-16,16.0,N 
15.0,7.0,1754.9,1.07e-10,9.21e-12,7.13,2.32e-11,1.99e-12,16.0,N 
15.0,7.0,1954.7,3.3e-11,5.04e-12,7.13,7.14e-12,1.09e-12,16.0,N 
15.0,7.0,2741.5,7.2e-10,5.17e-11,7.13,1.56e-10,1.12e-11,16.0,N 
15.0,7.0,2822.2,1.1e-10,4.01e-11,7.13,2.38e-11,8.68e-12,16.0,N 
15.0,7.0,6128.63,5.9e-08,1.19e-09,7.13,1.28e-08,2.57e-10,16.0,N 
15.0,7.0,6915.5,3.3e-11,5.04e-12,7.13,7.14e-12,1.09e-12,16.0,N 
15.0,7.0,7115.15,4.3e-09,4.08e-10,7.13,9.3e-10,8.83e-11,16.0,N 
15.0,7.0,8869.3,6.7e-11,9.08e-12,7.13,1.45e-11,1.96e-12,16.0,N 
18.0,8.0,109.894,8.3e-09,6.36e-10,26.9,1.57e-09,1.2e-10,19.0,O 
18.0,8.0,197.142,3.1e-07,2.24e-08,26.9,5.97e-08,4.24e-09,19.0,O 
18.0,8.0,1149.0,1.6e-12,1.08e-13,26.9,3.03e-13,2.05e-14,19.0,O 
18.0,8.0,1236.0,5.6e-11,7.96e-12,26.9,1.06e-11,1.51e-12,19.0,O 
18.0,8.0,1356.843,1.7e-07,1.19e-08,26.9,3.14e-08,2.25e-09,19.0,O 
18.0,8.0,1444.085,8.67e-09,6.19e-10,26.9,1.64e-09,1.17e-10,19.0,O 
18.0,8.0,1553.97,4.57e-09,3.25e-10,26.9,8.66e-10,6.16e-11,19.0,O 
18.0,8.0,2353.98,5.9e-12,8.94e-13,26.9,1.12e-12,1.69e-13,19.0,O 
18.0,8.0,2582.517,6.21e-11,4.49e-12,26.9,1.18e-11,8.5e-13,19.0,O 
18.0,8.0,3710.64,3.6e-12,5.56e-13,26.9,6.82e-13,1.05e-13,19.0,O 
18.0,8.0,3797.87,4.4e-12,5.82e-13,26.9,8.33e-13,1.1e-13,19.0,O 
18.0,8.0,3907.74,1.26e-11,1.04e-12,26.9,2.39e-12,1.97e-13,19.0,O 
18.0,8.0,4180.063,2.6e-10,1.86e-11,26.9,4.92e-11,3.52e-12,19.0,O 
19.0,9.0,1633.53,0.0096,0.0004,11.2,0.00153,6.38e-05,20.0,F 
19.0,9.0,3332.54,7.9e-07,6e-08,11.2,1.26e-07,9.57e-09,20.0,F 
19.0,9.0,4965.85,5e-09,2e-09,11.2,7.98e-10,3.19e-10,20.0,F 
22.0,10.0,439.986,0.0014,5.18e-06,37.2,0.00021,7.78e-07,23.0,Ne
22.0,10.0,1635.96,4.1e-05,1.41e-06,37.2,6.16e-06,2.12e-07,23.0,Ne
22.0,10.0,2075.91,4.2e-06,3e-07,37.2,6.31e-07,4.51e-08,23.0,Ne
22.0,10.0,2541.92,1.12e-06,8.01e-08,37.2,1.68e-07,1.2e-08,23.0,Ne
22.0,10.0,2981.85,1.57e-06,8.02e-08,37.2,2.36e-07,1.2e-08,23.0,Ne
23.0,11.0,472.202,0.478,0.004,0.0202,0.063,0.000527,24.0,Na
23.0,11.0,996.82,7.7e-06,1.3e-06,53900.0,1.02e-06,1.71e-07,24.0,Na
23.0,11.0,1368.66,0.53,0.008,53900.0,0.0699,0.00105,24.0,Na
23.0,11.0,2754.13,0.53,0.008,53900.0,0.0699,0.00105,24.0,Na
23.0,11.0,2869.5,1.6e-06,5e-07,53900.0,2.11e-07,6.59e-08,24.0,Na
23.0,11.0,3866.19,0.00028,4e-05,53900.0,3.69e-05,5.27e-06,24.0,Na
23.0,11.0,4237.96,5.82e-06,1.3e-07,53900.0,7.67e-07,1.71e-08,24.0,Na
26.0,12.0,170.686,3.3e-05,7e-06,568.0,4.11e-06,8.73e-07,27.0,Mg
26.0,12.0,843.71,0.00298,0.00014,568.0,0.000372,1.75e-05,27.0,Mg
26.0,12.0,1014.3,0.00117,6e-05,568.0,0.000146,7.48e-06,27.0,Mg
27.0,13.0,1778.92,0.232,0.004,134.0,0.0261,0.000449,28.0,Al
30.0,14.0,1266.15,2.5e-06,4e-07,9440.0,2.7e-07,4.32e-08,31.0,Si
36.0,16.0,906.36,1.6e-08,8.25e-09,303.0,1.51e-09,7.8e-10,37.0,S 
36.0,16.0,1169.07,1e-08,5.39e-09,303.0,9.45e-10,5.09e-10,37.0,S 
36.0,16.0,3086.0,1.9e-08,1.12e-08,303.0,1.8e-09,1.06e-09,37.0,S 
36.0,16.0,3103.36,2.82e-05,1.41e-05,303.0,2.67e-06,1.33e-06,37.0,S 
36.0,16.0,3741.02,7.9e-08,4.03e-08,303.0,7.47e-09,3.81e-09,37.0,S 
36.0,16.0,4009.64,8.2e-09,4.8e-09,303.0,7.75e-10,4.54e-10,37.0,S 
36.0,16.0,4396.0,1.1e-09,7.43e-10,303.0,1.04e-10,7.02e-11,37.0,S 
37.0,17.0,671.355,0.0122,0.0008,0.715,0.00104,6.84e-05,38.0,Cl
37.0,17.0,1642.5,0.0427,0.0013,2230.0,0.00365,0.000111,38.0,Cl
37.0,17.0,2166.9,0.0568,0.0015,2230.0,0.00486,0.000128,38.0,Cl
40.0,19.0,1460.822,3.24,0.048,3.99e+16,0.251,0.00372,41.0,K 
41.0,19.0,312.6,0.000371,2.2e-05,44500.0,2.88e-05,1.71e-06,42.0,K 
41.0,19.0,692.0,3.6e-06,8e-07,44500.0,2.79e-07,6.2e-08,42.0,K 
41.0,19.0,899.7,5.7e-05,3e-06,44500.0,4.42e-06,2.33e-07,42.0,K 
41.0,19.0,1021.2,2.22e-05,1.6e-06,44500.0,1.72e-06,1.24e-07,42.0,K 
41.0,19.0,1228.0,2.6e-06,1.2e-06,44500.0,2.02e-07,9.3e-08,42.0,K 
41.0,19.0,1524.6,0.02,1.35e-05,44500.0,0.00155,1.05e-06,42.0,K 
41.0,19.0,1920.8,4.6e-05,4e-06,44500.0,3.57e-06,3.1e-07,42.0,K 
41.0,19.0,2424.3,2.2e-05,3e-06,44500.0,1.71e-06,2.33e-07,42.0,K 
48.0,20.0,143.2,7.1e-07,2.06e-07,523.0,5.37e-08,1.56e-08,49.0,Ca
48.0,20.0,856.1,2.6e-06,6.67e-07,523.0,1.97e-07,5.04e-08,49.0,Ca
48.0,20.0,987.3,1.6e-06,6.26e-07,523.0,1.21e-07,4.73e-08,49.0,Ca
48.0,20.0,1144.5,2.3e-06,6.53e-07,523.0,1.74e-07,4.94e-08,49.0,Ca
48.0,20.0,1288.4,1.5e-06,6.23e-07,523.0,1.13e-07,4.71e-08,49.0,Ca
48.0,20.0,1408.9,1.28e-05,1.94e-06,523.0,9.68e-07,1.47e-07,49.0,Ca
48.0,20.0,2228.9,3.9e-06,1e-06,523.0,2.95e-07,7.56e-08,49.0,Ca
48.0,20.0,2371.7,9.9e-06,2.2e-06,523.0,7.49e-07,1.66e-07,49.0,Ca
48.0,20.0,3084.4,0.0019,0.000213,523.0,0.000144,1.61e-05,49.0,Ca
48.0,20.0,4071.9,0.000143,2.2e-05,523.0,1.08e-05,1.66e-06,49.0,Ca
48.0,20.0,4493.0,1.3e-06,1.46e-07,523.0,9.83e-08,1.1e-08,49.0,Ca
48.0,20.0,4738.2,4.3e-06,1.2e-06,523.0,3.25e-07,9.07e-08,49.0,Ca
45.0,21.0,142.528,4.88,0.07,18.8,0.329,0.00472,46.0,Sc
50.0,22.0,320.076,0.0086,8.91e-05,346.0,0.000544,5.64e-06,51.0,Ti
50.0,22.0,608.55,0.00011,9.07e-06,346.0,6.96e-06,5.74e-07,51.0,Ti
50.0,22.0,928.63,0.00064,3.07e-05,346.0,4.05e-05,1.94e-06,51.0,Ti
50.0,23.0,783.29,8e-07,5e-07,4.42e+24,4.76e-08,2.97e-08,51.0,V 
50.0,23.0,1553.77,3.8e-06,5.01e-07,4.42e+24,2.26e-07,2.98e-08,51.0,V 
51.0,23.0,398.08,0.0038,0.001,225.0,0.000226,5.95e-05,52.0,V 
51.0,23.0,647.45,0.0115,0.0012,225.0,0.000684,7.14e-05,52.0,V 
51.0,23.0,704.6,9e-05,4e-05,225.0,5.35e-06,2.38e-06,52.0,V 
51.0,23.0,935.52,0.0029,0.0002,225.0,0.000173,1.19e-05,52.0,V 
51.0,23.0,1333.62,0.0282,0.0005,225.0,0.00168,2.97e-05,52.0,V 
51.0,23.0,1434.1,4.81,0.1,225.0,0.286,0.00595,52.0,V 
51.0,23.0,1530.67,0.116,0.002,225.0,0.0069,0.000119,52.0,V 
51.0,23.0,1727.52,0.0034,0.0007,225.0,0.000202,4.16e-05,52.0,V 
51.0,23.0,1981.1,0.005,0.001,225.0,0.000297,5.95e-05,52.0,V 
51.0,23.0,2337.7,7e-05,4e-05,225.0,4.16e-06,2.38e-06,52.0,V 
51.0,23.0,2965.0,0.0056,0.0001,225.0,0.000333,5.95e-06,52.0,V 
51.0,23.0,3161.7,4.3e-05,1e-05,225.0,2.56e-06,5.95e-07,52.0,V 
51.0,23.0,3772.0,5e-05,2e-05,225.0,2.97e-06,1.19e-06,52.0,V 
54.0,24.0,126.0,1.8e-07,2.3e-08,210.0,1.05e-08,1.34e-09,55.0,Cr
54.0,24.0,1402.0,1.4e-07,1.9e-08,210.0,8.04e-09,1.11e-09,55.0,Cr
54.0,24.0,1528.0,3.8e-06,1.17e-08,210.0,2.21e-07,6.82e-10,55.0,Cr
54.0,24.0,2240.9,4.2e-08,1.2e-08,210.0,2.45e-09,6.99e-10,55.0,Cr
54.0,24.0,2252.5,3.3e-07,4e-08,210.0,1.92e-08,2.33e-09,55.0,Cr
54.0,24.0,2268.1,1.2e-08,4e-09,210.0,6.99e-10,2.33e-10,55.0,Cr
54.0,24.0,2368.5,1.9e-08,4e-09,210.0,1.11e-09,2.33e-10,55.0,Cr
55.0,25.0,846.754,13.1,0.04,9280.0,0.723,0.00221,56.0,Mn
55.0,25.0,1037.818,0.0053,0.0007,9280.0,0.000292,3.86e-05,56.0,Mn
55.0,25.0,1238.255,0.0131,0.0013,9280.0,0.000723,7.17e-05,56.0,Mn
55.0,25.0,1810.72,3.62,0.11,9280.0,0.2,0.00607,56.0,Mn
55.0,25.0,2113.05,1.91,0.05,9280.0,0.105,0.00276,56.0,Mn
55.0,25.0,2522.88,0.131,0.004,9280.0,0.00723,0.000221,56.0,Mn
55.0,25.0,2598.4,0.0025,0.0003,9280.0,0.000138,1.65e-05,56.0,Mn
55.0,25.0,2657.45,0.087,0.003,9280.0,0.0048,0.000165,56.0,Mn
55.0,25.0,2959.77,0.0408,0.0013,9280.0,0.00225,7.17e-05,56.0,Mn
55.0,25.0,3369.6,0.0224,0.0013,9280.0,0.00124,7.17e-05,56.0,Mn
59.0,27.0,58.603,0.411,0.004,628.0,0.0211,0.000206,60.0,Co
59.0,27.0,826.28,0.0022,0.0,628.0,0.000113,0.0,60.0,Co
59.0,27.0,1332.89,0.068,0.008,628.0,0.0035,0.000411,60.0,Co
59.0,27.0,2158.77,0.0002,0.0,628.0,1.03e-05,0.0,60.0,Co
64.0,28.0,366.27,0.00068,7.04e-06,9060.0,3.51e-05,3.63e-07,65.0,Ni
64.0,28.0,507.9,4.14e-05,7.02e-07,9060.0,2.14e-06,3.62e-08,65.0,Ni
64.0,28.0,609.5,2.2e-05,7e-07,9060.0,1.14e-06,3.61e-08,65.0,Ni
64.0,28.0,770.6,1.47e-05,1.1e-06,9060.0,7.59e-07,5.68e-08,65.0,Ni
64.0,28.0,852.7,1.36e-05,1.8e-06,9060.0,7.02e-07,9.29e-08,65.0,Ni
64.0,28.0,954.5,5.1e-07,5.67e-10,9060.0,2.63e-08,2.93e-11,65.0,Ni
64.0,28.0,1115.53,0.00219,1.32e-05,9060.0,0.000113,6.82e-07,65.0,Ni
64.0,28.0,1481.84,0.0033,3.67e-06,9060.0,0.00017,1.89e-07,65.0,Ni
64.0,28.0,1623.42,7.06e-05,2e-06,9060.0,3.65e-06,1.03e-07,65.0,Ni
64.0,28.0,1724.92,5.66e-05,1.8e-06,9060.0,2.92e-06,9.29e-08,65.0,Ni
63.0,29.0,1345.77,0.0155,0.0003,45700.0,0.000739,1.43e-05,64.0,Cu
65.0,29.0,833.52,0.0013,0.0003,307.0,6.2e-05,1.43e-05,66.0,Cu
65.0,29.0,1038.97,0.0598,0.0013,307.0,0.00285,6.2e-05,66.0,Cu
65.0,29.0,1332.5,2.3e-05,2e-06,307.0,1.1e-06,9.54e-08,66.0,Cu
68.0,30.0,318.4,2.6e-06,4.04e-07,3380.0,1.2e-07,1.87e-08,69.0,Zn
68.0,30.0,438.634,0.0128,0.00048,49500.0,0.000593,2.22e-05,69.0,Zn
68.0,30.0,573.9,4.2e-06,4.09e-07,49500.0,1.95e-07,1.89e-08,69.0,Zn
68.0,30.0,871.7,5.5e-07,1.8e-07,3380.0,2.55e-08,8.34e-09,69.0,Zn
70.0,30.0,98.5,3.3e-08,4.32e-09,14300.0,1.53e-09,2e-10,71.0,Zn
70.0,30.0,121.48,1.55e-06,1.69e-07,14300.0,7.18e-08,7.83e-09,71.0,Zn
70.0,30.0,121.52,1.53e-05,1.68e-06,147.0,7.09e-07,7.78e-08,71.0,Zn
70.0,30.0,142.6,3e-06,3.35e-07,14300.0,1.39e-07,1.55e-08,71.0,Zn
70.0,30.0,389.87,1.4e-06,1.65e-07,14300.0,6.49e-08,7.64e-09,71.0,Zn
70.0,30.0,390.0,1.97e-05,1.88e-06,147.0,9.13e-07,8.71e-08,71.0,Zn
70.0,30.0,398.6,3.1e-06,3.37e-07,147.0,1.44e-07,1.56e-08,71.0,Zn
70.0,30.0,423.2,2e-07,1.88e-08,147.0,9.13e-09,8.71e-10,71.0,Zn
70.0,30.0,453.08,6e-07,5.82e-08,14300.0,2.78e-08,2.7e-09,71.0,Zn
70.0,30.0,453.1,9e-07,1.1e-07,147.0,4.17e-08,5.1e-09,71.0,Zn
70.0,30.0,487.3,6.1e-07,7.63e-08,147.0,2.83e-08,3.54e-09,71.0,Zn
70.0,30.0,487.34,3.34e-05,2.24e-06,14300.0,1.55e-06,1.04e-07,71.0,Zn
70.0,30.0,511.55,1.52e-05,1.25e-06,14300.0,7.04e-07,5.79e-08,71.0,Zn
70.0,30.0,511.6,0.00016,7.95e-06,147.0,7.41e-06,3.68e-07,71.0,Zn
70.0,30.0,520.5,4.1e-07,3.63e-08,147.0,1.9e-08,1.68e-09,71.0,Zn
70.0,30.0,528.6,2.5e-08,1.01e-08,14300.0,1.16e-09,4.68e-10,71.0,Zn
70.0,30.0,566.2,1e-07,1.13e-08,14300.0,4.86e-09,5.24e-10,71.0,Zn
70.0,30.0,574.9,6e-08,5.82e-09,14300.0,2.78e-09,2.7e-10,71.0,Zn
70.0,30.0,575.1,1.5e-07,1.76e-08,147.0,6.86e-09,8.15e-10,71.0,Zn
70.0,30.0,588.6,2.69e-08,2.83e-09,14300.0,1.25e-09,1.31e-10,71.0,Zn
70.0,30.0,596.07,1.5e-05,1.25e-06,14300.0,6.95e-07,5.79e-08,71.0,Zn
70.0,30.0,620.19,3.04e-05,2.13e-06,14300.0,1.41e-06,9.87e-08,71.0,Zn
70.0,30.0,666.8,4.6e-06,5.5e-07,147.0,2.13e-07,2.55e-08,71.0,Zn
70.0,30.0,721.4,2.8e-06,3.31e-07,147.0,1.3e-07,1.53e-08,71.0,Zn
70.0,30.0,753.41,1.75e-06,1.73e-07,14300.0,8.11e-08,8.02e-09,71.0,Zn
70.0,30.0,771.26,1.1e-06,1.14e-07,14300.0,5.1e-08,5.28e-09,71.0,Zn
70.0,30.0,910.1,1.7e-07,1.71e-08,14300.0,7.64e-09,7.92e-10,71.0,Zn
70.0,30.0,910.3,4e-05,3.6e-06,147.0,1.85e-06,1.67e-07,71.0,Zn
70.0,30.0,951.8,5.5e-09,5.7e-10,14300.0,2.55e-10,2.64e-11,71.0,Zn
70.0,30.0,956.7,1e-07,1.13e-08,14300.0,4.86e-09,5.24e-10,71.0,Zn
70.0,30.0,964.6,2.5e-07,1.51e-07,14300.0,1.16e-08,7e-09,71.0,Zn
70.0,30.0,964.7,2.29e-06,2.75e-07,14300.0,1.06e-07,1.27e-08,71.0,Zn
70.0,30.0,964.8,3.9e-06,3.57e-07,147.0,1.81e-07,1.65e-08,71.0,Zn
70.0,30.0,974.7,1.9e-07,2.21e-08,14300.0,8.76e-09,1.02e-09,71.0,Zn
70.0,30.0,988.6,6.5e-07,5.95e-08,14300.0,3.01e-08,2.76e-09,71.0,Zn
70.0,30.0,994.6,1.6e-08,2.15e-09,14300.0,7.41e-10,9.96e-11,71.0,Zn
70.0,30.0,1006.5,4e-07,1.02e-07,14300.0,1.85e-08,4.73e-09,71.0,Zn
70.0,30.0,1011.4,3.6e-07,4.38e-08,14300.0,1.67e-08,2.03e-09,71.0,Zn
70.0,30.0,1085.3,2.2e-08,4.15e-09,14300.0,1.02e-09,1.92e-10,71.0,Zn
70.0,30.0,1107.0,4e-07,2.01e-07,14300.0,1.85e-08,9.31e-09,71.0,Zn
70.0,30.0,1107.4,1.1e-06,1.6e-07,14300.0,5.1e-08,7.41e-09,71.0,Zn
70.0,30.0,1109.3,8.4e-07,1.37e-07,147.0,3.89e-08,6.35e-09,71.0,Zn
70.0,30.0,1120.0,1.12e-05,1.23e-06,147.0,5.19e-07,5.7e-08,71.0,Zn
70.0,30.0,1139.8,1.1e-07,1.6e-08,14300.0,5.1e-09,7.41e-10,71.0,Zn
70.0,30.0,1144.2,4.1e-07,5.4e-08,147.0,1.9e-08,2.5e-09,71.0,Zn
70.0,30.0,1190.6,6e-09,1.53e-09,14300.0,2.78e-10,7.09e-11,71.0,Zn
70.0,30.0,1208.0,1.15e-08,2.08e-09,14300.0,5.33e-10,9.64e-11,71.0,Zn
70.0,30.0,1226.5,9.97e-09,5.18e-10,14300.0,4.62e-10,2.4e-11,71.0,Zn
70.0,30.0,1232.8,1.5e-08,2.13e-09,14300.0,6.95e-10,9.87e-11,71.0,Zn
70.0,30.0,1241.5,1.6e-07,1.8e-08,147.0,7.6e-09,8.34e-10,71.0,Zn
70.0,30.0,1244.2,3.3e-08,5.26e-09,14300.0,1.53e-09,2.44e-10,71.0,Zn
70.0,30.0,1282.7,1.5e-07,1.66e-08,14300.0,6.72e-09,7.69e-10,71.0,Zn
70.0,30.0,1306.7,6e-08,5.82e-09,14300.0,2.78e-09,2.7e-10,71.0,Zn
70.0,30.0,1311.4,5.5e-08,5.7e-09,14300.0,2.55e-09,2.64e-10,71.0,Zn
70.0,30.0,1322.2,1.2e-07,1.62e-08,14300.0,5.79e-09,7.51e-10,71.0,Zn
70.0,30.0,1339.7,5.5e-09,1.04e-09,14300.0,2.55e-10,4.82e-11,71.0,Zn
70.0,30.0,1343.7,2.4e-08,3.23e-09,14300.0,1.11e-09,1.5e-10,71.0,Zn
70.0,30.0,1380.8,1.9e-07,2.22e-08,14300.0,8.99e-09,1.03e-09,71.0,Zn
70.0,30.0,1383.8,1.8e-07,1.84e-08,147.0,8.39e-09,8.52e-10,71.0,Zn
70.0,30.0,1395.2,4.5e-08,5.48e-09,14300.0,2.08e-09,2.54e-10,71.0,Zn
70.0,30.0,1409.1,3.5e-09,1.02e-09,14300.0,1.62e-10,4.73e-11,71.0,Zn
70.0,30.0,1476.0,3.2e-07,3.4e-08,14300.0,1.48e-08,1.58e-09,71.0,Zn
70.0,30.0,1485.8,2.49e-08,2.79e-09,14300.0,1.15e-09,1.29e-10,71.0,Zn
70.0,30.0,1553.0,1.3e-07,1.73e-08,147.0,6.07e-09,8.02e-10,71.0,Zn
70.0,30.0,1612.2,6.5e-09,1.53e-09,14300.0,3.01e-10,7.09e-11,71.0,Zn
70.0,30.0,1631.6,1.97e-06,1.88e-07,147.0,9.13e-08,8.71e-09,71.0,Zn
70.0,30.0,1697.6,2.5e-09,5.15e-10,14300.0,1.16e-10,2.39e-11,71.0,Zn
70.0,30.0,1708.2,4.5e-08,5.48e-09,14300.0,2.08e-09,2.54e-10,71.0,Zn
70.0,30.0,1719.2,2e-08,5.1e-09,14300.0,9.27e-10,2.36e-10,71.0,Zn
70.0,30.0,1759.6,5e-07,5.58e-08,14300.0,2.32e-08,2.59e-09,71.0,Zn
70.0,30.0,1840.0,2.49e-08,2.79e-09,14300.0,1.15e-09,1.29e-10,71.0,Zn
70.0,30.0,1904.4,8.7e-07,9.09e-08,147.0,4.03e-08,4.21e-09,71.0,Zn
70.0,30.0,1905.2,2.4e-09,3.23e-10,14300.0,1.11e-10,1.5e-11,71.0,Zn
70.0,30.0,1963.8,3e-09,5.22e-10,14300.0,1.39e-10,2.42e-11,71.0,Zn
70.0,30.0,2000.9,2e-09,5.1e-10,14300.0,9.27e-11,2.36e-11,71.0,Zn
70.0,30.0,2064.6,2.3e-07,3.21e-08,147.0,1.07e-08,1.49e-09,71.0,Zn
70.0,30.0,2294.8,1.3e-07,1.73e-08,147.0,6.07e-09,8.02e-10,71.0,Zn
70.0,30.0,2317.7,3.5e-08,5.29e-09,14300.0,1.62e-09,2.45e-10,71.0,Zn
70.0,30.0,2489.4,2.5e-09,5.15e-10,14300.0,1.16e-10,2.39e-11,71.0,Zn
69.0,31.0,176.17,0.003,0.0008,1270.0,0.00013,3.48e-05,70.0,Ga
69.0,31.0,1039.2,0.007,0.001,1270.0,0.000304,4.35e-05,70.0,Ga
71.0,31.0,16.43,0.0125,0.0003,0.0397,0.000543,1.3e-05,72.0,Ga
71.0,31.0,50.88,0.000173,1.9e-05,50800.0,7.52e-06,8.26e-07,72.0,Ga
71.0,31.0,103.25,0.0526,0.0011,0.0397,0.00229,4.78e-05,72.0,Ga
71.0,31.0,112.52,0.00022,3e-05,50800.0,9.56e-06,1.3e-06,72.0,Ga
71.0,31.0,113.5,9.7e-05,9e-06,50800.0,4.22e-06,3.91e-07,72.0,Ga
71.0,31.0,142.53,0.000185,1.9e-05,50800.0,8.04e-06,8.26e-07,72.0,Ga
71.0,31.0,230.6,0.00041,3e-05,50800.0,1.78e-05,1.3e-06,72.0,Ga
71.0,31.0,289.31,0.0031,0.0003,50800.0,0.000135,1.3e-05,72.0,Ga
71.0,31.0,306.0,0.00038,3e-05,50800.0,1.65e-05,1.3e-06,72.0,Ga
71.0,31.0,317.5,0.00038,3e-05,50800.0,1.65e-05,1.3e-06,72.0,Ga
71.0,31.0,336.63,0.00185,0.00019,50800.0,8.04e-05,8.26e-06,72.0,Ga
71.0,31.0,381.24,0.0047,0.0003,50800.0,0.000204,1.3e-05,72.0,Ga
71.0,31.0,401.3,0.00057,6e-05,50800.0,2.48e-05,2.61e-06,72.0,Ga
71.0,31.0,428.42,0.0035,0.0003,50800.0,0.000152,1.3e-05,72.0,Ga
71.0,31.0,449.55,0.0016,0.00016,50800.0,6.95e-05,6.95e-06,72.0,Ga
71.0,31.0,479.23,0.00157,0.00016,50800.0,6.82e-05,6.95e-06,72.0,Ga
71.0,31.0,495.88,0.00097,9e-05,50800.0,4.22e-05,3.91e-06,72.0,Ga
71.0,31.0,520.74,0.00094,9e-05,50800.0,4.09e-05,3.91e-06,72.0,Ga
71.0,31.0,587.44,0.0021,0.00022,50800.0,9.13e-05,9.56e-06,72.0,Ga
71.0,31.0,601.21,0.471,0.022,50800.0,0.0205,0.000956,72.0,Ga
71.0,31.0,629.96,0.49,0.022,50800.0,0.0213,0.000956,72.0,Ga
71.0,31.0,735.75,0.0063,0.0006,50800.0,0.000274,2.61e-05,72.0,Ga
71.0,31.0,738.5,0.00094,9e-05,50800.0,4.09e-05,3.91e-06,72.0,Ga
71.0,31.0,772.0,0.00075,9e-05,50800.0,3.26e-05,3.91e-06,72.0,Ga
71.0,31.0,786.17,0.16,0.022,50800.0,0.00695,0.000956,72.0,Ga
71.0,31.0,810.2,0.0345,0.0009,50800.0,0.0015,3.91e-05,72.0,Ga
71.0,31.0,834.08,1.65,0.05,50800.0,0.0717,0.00217,72.0,Ga
71.0,31.0,861.11,0.0157,0.0016,50800.0,0.000682,6.95e-05,72.0,Ga
71.0,31.0,878.32,0.00126,0.00013,50800.0,5.48e-05,5.65e-06,72.0,Ga
71.0,31.0,894.91,0.35,0.03,50800.0,0.0152,0.0013,72.0,Ga
71.0,31.0,924.22,0.00245,0.00025,50800.0,0.000106,1.09e-05,72.0,Ga
71.0,31.0,938.4,0.00132,0.00013,50800.0,5.74e-05,5.65e-06,72.0,Ga
71.0,31.0,939.36,0.00446,0.00013,50800.0,0.000194,5.65e-06,72.0,Ga
71.0,31.0,970.55,0.0192,0.0019,50800.0,0.000835,8.26e-05,72.0,Ga
71.0,31.0,975.5,0.00057,6e-05,50800.0,2.48e-05,2.61e-06,72.0,Ga
71.0,31.0,999.86,0.0138,0.0013,50800.0,0.0006,5.65e-05,72.0,Ga
71.0,31.0,1037.2,0.00038,3e-05,50800.0,1.65e-05,1.3e-06,72.0,Ga
71.0,31.0,1050.69,0.119,0.013,50800.0,0.00517,0.000565,72.0,Ga
71.0,31.0,1155.7,0.000179,1.9e-05,50800.0,7.78e-06,8.26e-07,72.0,Ga
71.0,31.0,1163.12,0.00129,0.00013,50800.0,5.61e-05,5.65e-06,72.0,Ga
71.0,31.0,1192.4,0.0006,6e-05,50800.0,2.61e-05,2.61e-06,72.0,Ga
71.0,31.0,1215.15,0.0135,0.0013,50800.0,0.000587,5.65e-05,72.0,Ga
71.0,31.0,1230.86,0.0251,0.0025,50800.0,0.00109,0.000109,72.0,Ga
71.0,31.0,1260.1,0.0195,0.0019,50800.0,0.000848,8.26e-05,72.0,Ga
71.0,31.0,1276.76,0.028,0.003,50800.0,0.00122,0.00013,72.0,Ga
71.0,31.0,1390.42,0.00148,0.00016,50800.0,6.43e-05,6.95e-06,72.0,Ga
71.0,31.0,1464.0,0.0609,0.0019,50800.0,0.00265,8.26e-05,72.0,Ga
71.0,31.0,1500.9,0.00031,3e-05,50800.0,1.35e-05,1.3e-06,72.0,Ga
71.0,31.0,1568.1,0.0047,0.0006,50800.0,0.000204,2.61e-05,72.0,Ga
71.0,31.0,1571.6,0.0141,0.0013,50800.0,0.000613,5.65e-05,72.0,Ga
71.0,31.0,1596.68,0.0732,0.0016,50800.0,0.00318,6.95e-05,72.0,Ga
71.0,31.0,1613.6,0.00069,6e-05,50800.0,3e-05,2.61e-06,72.0,Ga
71.0,31.0,1630.0,0.00057,6e-05,50800.0,2.48e-05,2.61e-06,72.0,Ga
71.0,31.0,1680.77,0.0154,0.0016,50800.0,0.000669,6.95e-05,72.0,Ga
71.0,31.0,1710.9,0.0066,0.0006,50800.0,0.000287,2.61e-05,72.0,Ga
71.0,31.0,1711.15,0.00078,9e-05,50800.0,3.39e-05,3.91e-06,72.0,Ga
71.0,31.0,1837.6,0.0038,0.0003,50800.0,0.000165,1.3e-05,72.0,Ga
71.0,31.0,1861.09,0.0904,0.0019,50800.0,0.00393,8.26e-05,72.0,Ga
71.0,31.0,1877.9,0.0041,0.0003,50800.0,0.000178,1.3e-05,72.0,Ga
71.0,31.0,1920.2,0.0027,0.0003,50800.0,0.000117,1.3e-05,72.0,Ga
71.0,31.0,1991.3,0.00192,0.00019,50800.0,8.35e-05,8.26e-06,72.0,Ga
71.0,31.0,2029.4,0.00214,0.00022,50800.0,9.3e-05,9.56e-06,72.0,Ga
71.0,31.0,2109.5,0.0179,0.0019,50800.0,0.000778,8.26e-05,72.0,Ga
